%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83049.808,302.088,344.573,130.704,0.022,-0.030,5.000
83053.839,302.085,344.573,131.025,-0.011,0.002,5.000
83053.839,302.088,344.415,130.864,-0.011,0.002,5.000
83053.839,302.089,344.335,131.185,0.022,-0.009,5.000
83057.870,302.088,344.573,131.025,0.006,-0.009,5.000
83053.839,302.088,344.415,131.345,-0.027,-0.009,5.000
83057.870,302.089,344.494,131.185,-0.011,-0.019,5.000
83061.902,302.086,344.494,131.345,0.038,0.002,5.000
83057.870,302.088,344.415,131.185,0.006,0.002,5.000
83061.902,302.088,344.415,131.185,-0.011,-0.009,5.000
83057.870,302.088,344.573,131.665,-0.011,0.013,5.000
83061.902,302.089,344.573,131.345,0.006,-0.009,5.000
83057.870,302.089,344.494,131.505,0.006,0.002,5.000
83057.870,302.088,344.415,131.505,-0.011,0.013,5.000
83061.902,302.086,344.494,131.505,0.022,-0.009,5.000
83069.965,302.089,344.573,131.345,-0.011,-0.009,5.000
83065.933,302.089,344.573,131.345,-0.011,-0.009,5.000
83057.870,302.088,344.494,131.345,-0.011,0.002,5.000
83069.965,302.088,344.573,131.025,-0.011,0.002,5.000
83061.902,302.089,344.573,131.665,0.022,-0.009,5.000
83061.902,302.088,344.573,131.505,0.006,-0.009,5.000
83061.902,302.089,344.494,131.345,0.006,0.002,5.000
83065.933,302.089,344.652,131.345,0.006,-0.009,5.000
83065.933,302.089,344.652,131.185,0.006,-0.009,5.000
83061.902,302.091,344.652,131.025,0.006,0.013,5.000
83061.902,302.091,344.652,131.025,-0.011,0.013,5.000
83069.965,302.089,344.731,130.704,0.006,0.002,5.000
83065.933,302.089,344.573,130.544,-0.011,0.002,5.000
83065.933,302.091,344.652,130.704,0.006,0.013,5.000
83069.965,302.091,344.573,130.384,-0.027,-0.009,5.000
83069.965,302.093,344.494,130.384,0.006,-0.009,5.000
83061.902,302.091,344.731,130.384,-0.027,-0.009,5.000
